ID,Name,Address,Location,Mob. Number,Occupation,Latitude,Longitude
17,Дизајн Центар Инженеринг-Винарија Грков,Народна Младина 3,Кавадарци,38943400600,"градежни фирми и претпријатија, инженеринг, проектирање (проектантски бироа), ентериер - уредување и реновирање",41.4356856,22.0080115
18,Манастирска винарија,с.Опеница,Охрид,38978474656,винотеки (винарници),41.18396378,20.86824226
19,Бади Винарија,Пере Тошев 3,Кавадарци,38977832746,"винотеки (винарници), вина - производство",41.4322616,22.0061076
20,Тристо Винари,с.Сујаклари,Велес,38978389958,"вина - производство, винарски визби, винотеки (винарници)",41.60055542,21.7010479
21,Винарис,Лазо Мицев 38,Кавадарци,38970917818,"обувки - продавници, чанти",41.4366777,22.0128893
22,Винова винари,Никола Карев 87,Неготино,38975787792,транспорт - меѓународен,41.48425195,22.09529094
23,Сковин - дирекција,15-ти Корпус 3,Скопје,38923145725,"вина - трговија, винарски визби, вина - производство",41.99401093,21.43592072
24,Риго-импекс,Наум Наумовски Борче 40,Скопје,38923290244,"вина - производство, винарски визби, вина - трговија, 200 најуспешни",42.00364461,21.42431837
25,Гемакс,Лондонска б.б.мезанин лок.25,Скопје,38923065904,"угостителска опрема, опрема за месарници, кафемати, пекарска опрема, винарски визби, детергенти - специјалилизирани за индустрија, хигиена - средства, хемиско чистење - сервиси",41.99401093,21.43592072
26,Винарска Визба Тиквеш - дирекција,ул.812 2,Скопје,38923114383,"вина - производство, претставништва на домашни фирми, вина - трговија, винарски визби",42.1149631,21.7291533
27,Картал,ул.1519 7,Скопје,38970242419,"вина - производство, вина - трговија, винотеки (винарници), винарски визби",41.96233185,21.47459354
28,Таком Груп,бул.Јане Сандански 7-1-1/11,Скопје,38971400890,"инокс метали - трговија, индустриска опрема и машинерија - производство, индустриска опрема и машинерија - инсталација, млекарство - машини и опрема, фармацевтска опрема и техника, винарски визби",41.9897596,21.4586799
29,Попова кула,Даме Груев 5-7/1,Скопје,38923216719,"винарски визби, вина - трговија, вина - производство",41.9926271,21.4287117
30,Далвина,Франклин Рузвелт 22,Скопје,38923245345,"винотеки (винарници), вина - производство, вина - трговија, винарски визби",41.9996093,21.4132101
31,Имако Вино,Перо Наков б.б.,Скопје,38922549051,"винарски визби, вина - производство, вина - трговија, винотеки (винарници)",41.99401093,21.43592072
32,Кувин,Македонска Преродба 70,Скопје,38975233340,"винотеки (винарници), винарски визби",42.0095575,21.3512216
